"id","ward_code","ward_name","district_code","district_name","province_code","province_name","address_code"
"1","19222","Duy Ninh","456","Quảng Ninh","44","Quảng Bình","4445619222"
"2","19225","Gia Ninh","456","Quảng Ninh","44","Quảng Bình","4445619225"
"3","19228","Trường Xuân","456","Quảng Ninh","44","Quảng Bình","4445619228"
"4","19231","Hiền Ninh","456","Quảng Ninh","44","Quảng Bình","4445619231"
"5","19234","Tân Ninh","456","Quảng Ninh","44","Quảng Bình","4445619234"
"6","19237","Xuân Ninh","456","Quảng Ninh","44","Quảng Bình","4445619237"
"7","22120","An Ninh Tây","559","Tuy An","54","Phú Yên","5455922120"
"8","22111","Xuân Phước","558","Đồng Xuân","54","Phú Yên","5455822111"
"9","22114","Chí Thạnh","559","Tuy An","54","Phú Yên","5455922114"
"10","22117","An Dân","559","Tuy An","54","Phú Yên","5455922117"
"11","22123","An Ninh Đông","559","Tuy An","54","Phú Yên","5455922123"
"12","22126","An Thạch","559","Tuy An","54","Phú Yên","5455922126"
"13","22129","An Định","559","Tuy An","54","Phú Yên","5455922129"
"14","22132","An Nghiệp","559","Tuy An","54","Phú Yên","5455922132"
"15","22135","An Hải","559","Tuy An","54","Phú Yên","5455922135"
"16","22138","An Cư","559","Tuy An","54","Phú Yên","5455922138"
"17","22141","An Xuân","559","Tuy An","54","Phú Yên","5455922141"
"18","22144","An Lĩnh","559","Tuy An","54","Phú Yên","5455922144"
"19","22147","An Hòa","559","Tuy An","54","Phú Yên","5455922147"
"20","22150","An Hiệp","559","Tuy An","54","Phú Yên","5455922150"
"21","22153","An Mỹ","559","Tuy An","54","Phú Yên","5455922153"
"22","22156","An Chấn","559","Tuy An","54","Phú Yên","5455922156"
"23","22159","An Thọ","559","Tuy An","54","Phú Yên","5455922159"
"24","22165","Củng Sơn","560","Sơn Hòa","54","Phú Yên","5456022165"
"25","22168","Phước Tân","560","Sơn Hòa","54","Phú Yên","5456022168"
"26","22171","Sơn Hội","560","Sơn Hòa","54","Phú Yên","5456022171"
"27","22174","Sơn Định","560","Sơn Hòa","54","Phú Yên","5456022174"
"28","22177","Sơn Long","560","Sơn Hòa","54","Phú Yên","5456022177"
"29","22180","Cà Lúi","560","Sơn Hòa","54","Phú Yên","5456022180"
"30","22183","Sơn Phước","560","Sơn Hòa","54","Phú Yên","5456022183"
"31","22186","Sơn Xuân","560","Sơn Hòa","54","Phú Yên","5456022186"
"32","22189","Sơn Nguyên","560","Sơn Hòa","54","Phú Yên","5456022189"
"33","22192","Eachà Rang","560","Sơn Hòa","54","Phú Yên","5456022192"
"34","22195","Krông Pa","560","Sơn Hòa","54","Phú Yên","5456022195"
"35","22198","Suối Bạc","560","Sơn Hòa","54","Phú Yên","5456022198"
"36","22201","Sơn Hà","560","Sơn Hòa","54","Phú Yên","5456022201"
"37","22204","Suối Trai","560","Sơn Hòa","54","Phú Yên","5456022204"
"38","22207","Hai Riêng","561","Sông Hinh","54","Phú Yên","5456122207"
"39","22210","Ea Lâm","561","Sông Hinh","54","Phú Yên","5456122210"
"40","22213","Đức Bình Tây","561","Sông Hinh","54","Phú Yên","5456122213"
"41","22216","Ea Bá","561","Sông Hinh","54","Phú Yên","5456122216"
"42","22219","Sơn Giang","561","Sông Hinh","54","Phú Yên","5456122219"
"43","22222","Đức Bình Đông","561","Sông Hinh","54","Phú Yên","5456122222"
"44","22225","EaBar","561","Sông Hinh","54","Phú Yên","5456122225"
"45","22228","EaBia","561","Sông Hinh","54","Phú Yên","5456122228"
"46","22231","EaTrol","561","Sông Hinh","54","Phú Yên","5456122231"
"47","22234","Sông Hinh","561","Sông Hinh","54","Phú Yên","5456122234"
"48","22237","Ealy","561","Sông Hinh","54","Phú Yên","5456122237"
"49","22249","Sơn Thành Tây","562","Tây Hoà","54","Phú Yên","5456222249"
"50","22250","Sơn Thành Đông","562","Tây Hoà","54","Phú Yên","5456222250"
"51","22252","Hòa Bình 1","562","Tây Hoà","54","Phú Yên","5456222252"
"52","22255","Phú Thứ","562","Tây Hoà","54","Phú Yên","5456222255"
"53","22264","Hòa Phong","562","Tây Hoà","54","Phú Yên","5456222264"
"54","22270","Hòa Phú","562","Tây Hoà","54","Phú Yên","5456222270"
"55","22273","Hòa Tân Tây","562","Tây Hoà","54","Phú Yên","5456222273"
"56","22276","Hòa Đồng","562","Tây Hoà","54","Phú Yên","5456222276"
"57","22285","Hòa Mỹ Đông","562","Tây Hoà","54","Phú Yên","5456222285"
"58","22288","Hòa Mỹ Tây","562","Tây Hoà","54","Phú Yên","5456222288"
"59","22294","Hòa Thịnh","562","Tây Hoà","54","Phú Yên","5456222294"
"60","22303","Hòa Quang Bắc","563","Phú Hoà","54","Phú Yên","5456322303"
"61","22306","Hòa Quang Nam","563","Phú Hoà","54","Phú Yên","5456322306"
"62","22309","Hòa Hội","563","Phú Hoà","54","Phú Yên","5456322309"
"63","22312","Hòa Trị","563","Phú Hoà","54","Phú Yên","5456322312"
"64","22315","Hòa An","563","Phú Hoà","54","Phú Yên","5456322315"
"65","22318","Hòa Định Đông","563","Phú Hoà","54","Phú Yên","5456322318"
"66","22319","Phú Hoà","563","Phú Hoà","54","Phú Yên","5456322319"
"67","22321","Hòa Định Tây","563","Phú Hoà","54","Phú Yên","5456322321"
"68","22324","Hòa Thắng","563","Phú Hoà","54","Phú Yên","5456322324"
"69","22243","Hòa Thành","564","Đông Hòa","54","Phú Yên","5456422243"
"70","22246","Hòa Hiệp Bắc","564","Đông Hòa","54","Phú Yên","5456422246"
"71","22258","Hoà Vinh","564","Đông Hòa","54","Phú Yên","5456422258"
"72","22261","Hoà Hiệp Trung","564","Đông Hòa","54","Phú Yên","5456422261"
"73","22267","Hòa Tân Đông","564","Đông Hòa","54","Phú Yên","5456422267"
"74","22279","Hòa Xuân Tây","564","Đông Hòa","54","Phú Yên","5456422279"
"75","22282","Hòa Hiệp Nam","564","Đông Hòa","54","Phú Yên","5456422282"
"76","22291","Hòa Xuân Đông","564","Đông Hòa","54","Phú Yên","5456422291"
"77","22297","Hòa Tâm","564","Đông Hòa","54","Phú Yên","5456422297"
"78","25237","Sơn Giang","688","Phước Long","70","Bình Phước","7068825237"
"79","25220","Long Phước","688","Phước Long","70","Bình Phước","7068825220"
"80","25245","Long Giang","688","Phước Long","70","Bình Phước","7068825245"
"81","25249","Phước Tín","688","Phước Long","70","Bình Phước","7068825249"
"82","15991","Hoằng Hải","399","Hoằng Hóa","38","Thanh Hóa","3839915991"
"83","15994","Hoằng Ngọc","399","Hoằng Hóa","38","Thanh Hóa","3839915994"
"84","15997","Hoằng Đông","399","Hoằng Hóa","38","Thanh Hóa","3839915997"
"85","16000","Hoằng Thanh","399","Hoằng Hóa","38","Thanh Hóa","3839916000"
"86","16003","Hoằng Phụ","399","Hoằng Hóa","38","Thanh Hóa","3839916003"
"87","16006","Hoằng Trường","399","Hoằng Hóa","38","Thanh Hóa","3839916006"
